L:1
S:-1,-1
0,1,-1.5
0,0.5,-1.5
0,0.5,-2
0,1,-2
0,1.5,-2
0,0,-2
0,0,-2.5
0,0,-3
0,0,-3.5
0,-0.5,-3.5
0,-0.5,-3
0,-0.5,-2.5
0,-1,-2.5
0,-1,-3
0,-1,-3.5
0,1,1
0,1,1.5
0,1.5,1.5
0,2,1.5
0,2,2
0,2,2.5
0,1.5,2.5
0,1.5,2
1,1.5,1
L:END


3 laying
4 standing
2,0.5,0.75,straight,Bridge01,END
3,0,1,forward,Bridge01,END
3,0,3,forward,Bridge01,END
