L:33
S:-1.5,0
3,1.5,-3
3,1,-3
3,0.5,-3
1,-1,3.5
2,-1,1.25,straight,Bridge01,END
4,-0.5,-3,forward,Bridge01,END
L:38
S:-0.5,0
0,-0.5,0
0,-0.5,-0.5
0,-1,-0.5
0,-1,0
0,-1.5,0
0,-1.5,-0.5
0,-2,-0.5
0,-2,0
0,-1.5,0.5
0,-1.5,1
0,-1.5,1.5
0,-2,1.5
0,-1,1.5
0,-1,2
0,-2,2
0,-1.5,2
0,-1.5,2.5
0,-2,2.5
0,-1,2.5
0,-1,3
0,-1.5,3
0,0,-0.5
0,0,0
0,0,-1
0,0.5,0.5
0,0.5,1
0,1,1
0,1,0.5
0,1.5,0
0,2,0
0,2,-0.5
0,1.5,-0.5
0,0.5,-2
0,1.5,-2
0,1.5,-2.5
0,0.5,-2.5
0,1,-2.5
0,1,-3
0,0.5,-3
0,1.5,-3
0,-1,-2
0,-1.5,-2.5
0,-1.5,-3
0,-1,-2.5
3,-2,0.5
3,0.5,0
3,1,0
3,1,-0.5
3,0.5,-0.5
3,0.5,-1
3,1,-1
3,1,-1.5
3,0.5,-1.5
3,-2,1
1,-1,-3
2,-1,-0.25,straight,Bridge01,END
4,1,-2,back,Bridge01,END
L:39
S:-1.5,0.5
0,-1,0
0,-1.5,0
0,-2,0
0,-2,-0.5
0,-1.5,-0.5
0,-1,-0.5
0,-1,0.5
0,-1.5,0.5
0,-2,0.5
0,-1,-1
0,-1.5,-1
0,0.5,0.5
0,1,1
0,0.5,1
0,1.5,1
0,2,1
0,2,1.5
0,1.5,1.5
0,0.5,1.5
0,1,1.5
0,1,2
0,1.5,2
0,2,2
0,1,2.5
0,1,3
0,1,3.5
0,1,4
0,0.5,4
0,0.5,3.5
0,0,3.5
0,0,4
0,-1.5,-2.5
0,-1.5,-2.5
0,-1,-2.5
0,-2,-2.5
0,-2,-3
0,-2,-3.5
0,-2,-4
0,-1.5,-4
0,-1,-4
0,-1,-3.5
0,-1,-3
0,-1.5,-3.5
0,-0.5,3.5
0,-0.5,4
3,1,0.5
3,-0.5,-0.5
3,-0.5,0
3,0,0
3,0,-0.5
3,0.5,-0.5
3,0.5,0
3,1,0
3,1,-0.5
3,-0.5,3
3,-1,3
3,-1,3.5
3,-1,4
3,-1.5,4
3,-1.5,3.5
3,-1.5,3
3,-2,3.5
3,-2,4
1,-1.5,-3
2,-1,-0.75,straight,Bridge01,END
4,-2,3,back,Bridge01,END
L:40
S:-0.5,0.5
0,-0.5,0.5
0,-1,0.5
0,-1,0.5
0,0,0.5
0,0,0
0,-0.5,0
0,1.5,-1
0,2,-1
0,2,-1.5
0,1.5,-1.5
0,1.5,-2
0,2,-2
0,2,-3.5
0,1.5,-3.5
0,1,-3.5
0,0.5,-3.5
0,0,-3.5
0,0,-3
0,-0.5,-3
0,-0.5,-3.5
0,-1,-3.5
0,-1,-3
0,-1.5,-3
0,-1.5,-3.5
0,-2,-3.5
0,-2,-3
0,-2,-2.5
0,-1.5,-2.5
0,-1,-2.5
0,-1,-2
0,-1,-1.5
0,-0.5,-2
0,-1,2
0,-1.5,2
0,-0.5,2
0,-0.5,2.5
0,-0.5,3
0,-1,3
0,-1.5,3
0,-1.5,2.5
3,0.5,0.5
3,1,0.5
3,1,0
3,0.5,0
3,0.5,-0.5
3,1,-0.5
3,1,-1
3,0.5,-1
3,0.5,-1.5
3,1,-1.5
3,1,-2
3,0.5,-2
3,0.5,-2.5
3,1,-2.5
3,1,-3
3,0.5,-3
3,0,-2
3,0,-2.5
3,1.5,-3
3,2,-3
3,2,-2.5
3,1.5,-2.5
1,-1,2.5
2,-1,0.25,straight,Bridge01,END
2,-1,-1.75,straight,Bridge02,END
4,-0.5,-2.5,forward,Bridge01,END
4,-1,0,forward,Bridge02,END
L:41
S:-1.5,-0.5
0,-1.5,-0.5
0,-1.5,0
0,-1.5,-1
0,-1,-1
0,-1,0
0,-1,-0.5
0,-0.5,-0.5
0,-0.5,0
0,-0.5,-1
0,-2,-1
0,-2,-0.5
0,-2.5,-0.5
0,-2.5,-1
0,0,-0.5
0,0.5,-0.5
0,1,-0.5
0,1.5,-0.5
0,1,2
0,0.5,2.5
0,0,2.5
0,0,2
0,-0.5,2
0,-0.5,2.5
0,-0.5,3
0,-1,3
0,-1.5,3
0,-1.5,2.5
0,-1,1.5
0,1,2.5
0,1,-2.5
0,1.5,-2.5
0,1.5,-3
0,1,-3
0,2,-3
0,0.5,-3.5
0,0.5,-4
0,0,-4
0,-0.5,-4
0,-1,-4
0,-1.5,-4
0,-1.5,-3.5
0,-1.5,-3
0,-1.5,-2.5
3,1.5,-1
3,1,-1
3,1,-1.5
3,1.5,-1.5
3,1.5,-2
3,1,-2
3,1.5,0
3,1,0
3,1,0.5
3,1.5,0.5
3,1.5,1
3,1,1
3,1,1.5
3,1.5,1.5
3,1.5,2
3,1.5,2.5
3,-0.5,-2.5
3,-1,-2.5
3,-1,-3
3,-0.5,-3
3,-0.5,-3.5
3,-1,-3.5
3,0,-3.5
1,2.5,-3
2,-0.25,2,horizontal,Bridge01,END
2,1.25,-3,horizontal,Bridge02,END
4,-0.5,1.5,left,Bridge01,END
4,-1,2.5,left,Bridge02,END
L:42
S:-1.5,-1
0,-2,-1
0,-2.5,-1
0,-1.5,-1
0,-2,-0.5
0,-1.5,-0.5
0,-2.5,-0.5
0,-2,-1.5
0,-1.5,-1.5
0,-2.5,-1.5
0,-2.5,-2
0,-1,-1
0,-0.5,-1
0,0,-1
0,0.5,-1
0,1,-1
0,1,1
0,0.5,1
0,1.5,1
0,1.5,0.5
0,2,0.5
0,2,1
0,2,1.5
0,1.5,1.5
0,1.5,2
0,2,2
0,2,2.5
0,1.5,2.5
0,1,2.5
0,-0.5,2.5
0,-1,2.5
0,-1.5,2.5
0,-1.5,2
0,-1.5,1.5
0,-2,1.5
0,-2,2
0,-2,2.5
0,-2.5,2.5
0,-2.5,2
0,-2.5,1.5
0,0.5,-1.5
0,0.5,-3
0,0.5,-3.5
0,0.5,-4
0,1,-4
0,1.5,-3.5
0,1.5,-4
0,2,-4
0,2,-3.5
0,2.5,-3.5
0,2,-4.5
0,1.5,-4.5
0,1,-4.5
0,-1,-3.5
0,-2,-3.5
0,-2,-4
0,-1,-4
0,-1.5,-4
3,0.5,-0.5
3,1,-0.5
3,1,0
3,0.5,0
3,0.5,0.5
3,1,0.5
3,0.5,2.5
3,0,2.5
3,0,3
3,0.5,3
3,0.5,3.5
3,0,3.5
3,-0.5,3.5
3,-0.5,3
3,1,3
3,1,3.5
3,-1.5,-2
3,-2,-2
1,-1.5,-3.5
2,0.5,-1.25,straight,Bridge01,END
2,-1.5,-3.75,straight,Bridge02,END
4,-2,1,back,Bridge01,END
4,1,-3.5,forward,Bridge02,END
L:43
S:-0.5,2.5
0,-0.5,2.5
0,0,2.5
0,0.5,2.5
0,0.5,2
0,0,2
0,-0.5,2
0,-0.5,1.5
0,0,1.5
0,0.5,1.5
0,1,1.5
0,1,2
0,0,1
0,0,0.5
0,0,0
0,0,-0.5
0,0,-1
0,1.5,-1
0,1.5,-0.5
0,1.5,0
0,2,0
0,2,-0.5
0,2,-1
0,1.5,-2.5
0,1.5,-3
0,2,-3
0,2,-2.5
0,2.5,-2.5
0,2.5,-3
0,-0.5,-0.5
0,-1,-0.5
0,-1.5,-0.5
0,-1.5,-1
0,-1.5,-1.5
0,-1.5,-2
0,-2,-2.5
0,-2.5,-2.5
0,-2,-0.5
0,-2,1.5
0,-2.5,1.5
0,-2.5,1
3,2.5,-1
3,2.5,-0.5
3,-2,-2
3,-2.5,-2
3,0.5,-1
3,0.5,-0.5
3,1,-0.5
3,1,-1
3,-2.5,-3
3,-2.5,-3.5
3,-2,-3.5
3,-2,-3
3,-1.5,-3
3,-1.5,-3.5
1,-2,1
2,1.5,-0.75,straight,Bridge01,END
2,-2,1.25,straight,Bridge02,END
4,-1.5,-2.5,back,Bridge01,END
4,2.5,0,back,Bridge02,END
L:44
S:-1.5,2.5
0,-2,2.5
0,-2,3
0,-1.5,3
0,-1.5,2
0,-2,2
0,-2,1.5
0,-1.5,1.5
0,-1.5,1
0,-1.5,0.5
0,-1,0.5
0,-1,1
0,-0.5,1
0,-0.5,0.5
0,-0.5,0.5
0,-0.5,1
0,0,1
0,0,0.5
0,0.5,0.5
0,0.5,1
0,0.5,0
0,0.5,-0.5
0,0.5,-1
0,0.5,-1.5
0,0,-1.5
0,0,-1
0,-0.5,-1
0,-0.5,-1.5
0,-1,-1.5
0,-1,-1
0,-1,-2
0,-1,-2.5
0,-1,-3
0,-1,-3.5
0,-1,-4
0,-1,2.5
0,-1,3
0,1,3
0,1,3.5
0,1,2.5
0,1.5,2.5
0,1.5,3.5
0,2,2.5
0,2,3.5
0,2,3
0,-1.5,2.5
3,-2,0.5
3,-2,1
3,0.5,-4
3,1,-4
3,1,-3.5
3,1.5,-3.5
3,1.5,-4
3,2,-4
3,2,-3.5
3,-0.5,3
3,-0.5,2.5
3,-0.5,-4
3,-0.5,-3.5
3,0,-3.5
3,0,-4
1,1.5,3
2,1.25,3,horizontal,Bridge01,END
4,0.5,-3.5,left,Bridge01,END
L:45
S:0,0
0,0.5,0
0,0.5,-0.5
0,0,-0.5
0,1.5,-0.5
0,1.5,-1
0,1.5,-1.5
0,1.5,-2
0,1.5,-2.5
0,2,-2.5
0,2,-2
0,2.5,-2
0,2.5,-2.5
0,0.5,0.5
0,0.5,1
0,0.5,1.5
0,1,1.5
0,1.5,1.5
0,2,1.5
0,0,1.5
0,-0.5,1.5
0,-1,1.5
0,-2,1.5
0,-2.5,1.5
0,-2.5,1
0,-2,1
0,-1.5,1
0,-1.5,0.5
0,-1.5,0
0,-1.5,-0.5
0,-1.5,-1
0,-2,-1
0,-2,-0.5
0,-2.5,-0.5
0,-2.5,-1
0,-1,-0.5
0,-0.5,-0.5
0,-1.5,-3.5
0,-2,-3.5
0,-2,-3
0,0,-3
0,0,-2.5
0,-0.5,-2.5
0,0,0
3,2,2
3,2,2.5
3,2.5,2.5
3,2.5,2
3,-1,2
3,-1.5,2
3,-2,2
3,1,-0.5
3,1,-1
3,1,0
3,0,-1
3,0.5,-1
1,-1.5,-3
2,0,-2.75,straight,Bridge01,END
2,-1.75,-3,horizontal,Bridge02,END
4,2.5,1.5,forward,Bridge01,END
4,-1.5,1.5,right,Bridge02,END
L:46
S:-1,-1
0,-1,-1
0,-0.5,-1
0,-0.5,-0.5
0,-1,-0.5
0,-1,0
0,-0.5,0
0,-0.5,0.5
0,-1,0.5
0,-0.5,1
0,0,1
0,0.5,1
0,-1,-1.5
0,-0.5,-1.5
0,-1.5,-1.5
0,-1.5,-1
0,0,-1
0,0.5,-1
0,1,-1
0,1,-1.5
0,1.5,-1.5
0,1.5,-1
0,2,-1
0,2,-1.5
0,2.5,-1.5
0,2.5,-1
0,2.5,-2
0,2.5,-2.5
0,2.5,-3
0,2.5,-3.5
0,2.5,-4
0,2,-4
0,2,-3.5
0,1.5,-3.5
0,-0.5,-3.5
0,-0.5,-4
0,-1,-4
0,-1,-3.5
0,-1.5,-3.5
0,-2,-3.5
0,-2.5,-3.5
0,-2.5,-4
0,0.5,2.5
0,1,2.5
0,0,2.5
0,0,3
0,1,3
0,0,3.5
0,1,3.5
0,0.5,3.5
3,-1.5,-4
3,-2,-4
3,-2,-1.5
3,-2,-1
3,-2.5,-1
3,-2.5,-1.5
3,-2.5,-2
3,-2,-2
3,-2,-2.5
3,-2.5,-2.5
3,-2.5,-3
3,-2,-3
3,-1.5,-3
3,-1,-3
3,-1,-4.5
3,-1.5,-4.5
3,-2,-4.5
3,-2.5,-4.5
1,0.5,3
2,-0.75,0.5,horizontal,Bridge01,END
2,-0.75,-1.5,horizontal,Bridge02,END
2,0.5,2.75,straight,Bridge03,END
4,-0.5,-3,right,Bridge01,END
4,2,-3,right,Bridge02,END
4,1,-3.5,back,Bridge03,END
L:47
S:-0.5,0.5
0,-0.5,0.5
0,-0.5,1
0,-1,1
0,-1,1.5
0,-0.5,1.5
0,-1.5,1.5
0,-1.5,2
0,-1,2
0,-1,2.5
0,-1.5,2.5
0,-1.5,3
0,-1,3
0,-0.5,3
0,0,3
0,0.5,3
0,1,3
0,1.5,3
0,2,3
0,2,2.5
0,1.5,2.5
0,1.5,2
0,2,2
0,2,1.5
0,1.5,1.5
0,2,1
0,2,0.5
0,1.5,0.5
0,1,0.5
0,0.5,0.5
0,0,0.5
0,1.5,0
0,2,0
0,2,-0.5
0,1.5,-0.5
0,1.5,-1
0,2,-1
0,1,-1
0,0.5,-1
0,0,-1
0,-0.5,-1
0,-0.5,-1.5
0,0,-1.5
0,1.5,-2.5
0,1.5,-3
0,1.5,-3.5
0,1,-3.5
0,0.5,-3.5
0,0.5,-3
0,1,-3
3,-2,2
3,-2,2.5
3,-1,0
3,-0.5,0
3,-0.5,-0.5
3,0,1
3,-1,0.5
1,1.5,1
2,1.5,-2.75,straight,Bridge01,END
4,-1,-1.5,forward,Bridge01,END
L:48
S:-1.5,-1.5
0,-1.5,-1.5
0,-2,-1.5
0,-2,-2
0,-1.5,-2
0,-1,-2
0,-0.5,-2
0,0,-2
0,0.5,-2
0,1,-2
0,1.5,-2
0,2,-2
0,-1.5,-1
0,-1.5,-0.5
0,-1.5,0
0,-2,0
0,-2,0.5
0,-1.5,0.5
0,-1.5,1
0,-2,1
0,-2,1.5
0,-1.5,1.5
0,-1.5,2
0,-2,2
0,-2,2.5
0,-1.5,2.5
0,-1.5,3
0,-2,3
0,-1,3
0,-0.5,3
0,0,3
0,1,3
0,1,2.5
0,1.5,2.5
0,1.5,3
0,-0.5,-3.5
0,-1,-3.5
0,0,-3.5
0,0,-4
0,-1,-4
3,-2,-1
3,-2,-0.5
3,-1,1
3,-1,1.5
3,-1,2.5
3,-0.5,2.5
3,0,2.5
3,0.5,2.5
3,1,2
3,1.5,2
3,2,2
3,2,2.5
3,2,3
3,-0.5,-1.5
3,-1,-1.5
3,1,-1.5
3,1,-1
3,1.5,-1
3,1.5,-1.5
3,2,-1.5
3,2,-1
1,-0.5,-4
2,-0.5,-3.75,straight,Bridge01,END
4,0.5,3,forward,Bridge01,END
L:END
